CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE,target
0.0,0.0,1.0,0.0,0.0,0.0,29.0,1.0,0.0,2.0,0.74,0.0,77.0,1.0,0.0,1.0,2.0,0.91,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,0
3.0,0.0,6.0,0.0,0.0,2.0,47.0,1.0,0.0,4.0,0.17,3.0,50.0,2.0,0.0,10.0,1.0,9.29,5.0,5.0,1.0,2.89,0.0,121.0,0.67,0.0,3.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,3.5,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,13.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0
0.0,1.0,1.0,0.0,9.0,0.0,41.0,9.0,0.0,3.0,0.13,0.0,50.0,3.0,1.0,9.0,2.0,2.24,0.0,2.0,1.0,0.55,0.0,103.0,0.56,0.0,3.0,4.0,0
2.0,0.0,2.0,0.0,1.0,0.0,47.0,2.0,0.0,2.0,0.4,1.0,60.0,1.0,0.0,10.0,2.0,2.8,0.0,2.0,1.0,1.31,0.0,246.0,0.48,2.0,5.0,6.0,1
0.0,0.0,1.0,0.0,0.0,1.0,40.0,1.0,0.0,1.0,1.43,0.0,71.0,4.0,0.0,1.0,1.0,4.14,0.0,1.0,1.0,0.0,0.0,9.0,0.33,0.0,4.0,1.0,0
0.0,0.0,1.0,0.0,0.0,15.0,96.0,1.0,0.0,1.0,1.16,4.0,50.0,1.0,0.0,19.0,1.0,5.0,2.0,2.0,1.0,1.17,0.0,81.0,0.67,0.0,4.0,3.0,0
6.0,0.0,2.0,0.0,0.0,1.0,154.0,1.0,0.0,6.0,0.23,1.0,90.0,1.0,0.0,76.0,1.0,4.98,1.0,1.0,1.0,0.89,0.0,139.0,0.8,0.0,3.0,4.0,0
0.0,0.0,1.0,2.0,0.0,0.0,38.0,1.0,0.0,5.0,0.79,0.0,82.0,1.0,0.0,4.0,1.0,2.7,2.0,1.0,1.0,0.33,0.0,14.0,1.0,0.0,4.0,1.0,0
9.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.36,0.0,1.0,1.0,0.0,0.0,5928.0,0.5,0.0,1.0,2.0,0
0.0,5.0,1.0,0.0,0.0,0.0,31.0,4.0,0.0,5.0,1.0,0.0,100.0,1.0,3.0,0.0,2.0,0.75,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1.0,0.0,1.0,1.0,4.0,1.0,56.0,2.0,0.0,1.0,0.89,1.0,72.0,2.0,0.0,8.0,2.0,2.7,1.0,1.0,1.0,0.0,0.0,49.0,0.57,0.0,2.0,1.0,0
0.0,0.0,1.0,0.0,3.0,0.0,38.0,1.0,0.0,0.0,0.4,0.0,0.0,2.0,0.0,9.0,1.0,2.75,0.0,1.0,1.0,0.18,0.0,15.0,0.6,0.0,5.0,2.0,0
0.0,0.0,1.0,2.0,7.0,1.0,94.0,4.0,3.0,4.0,0.32,0.0,91.0,3.0,3.0,19.0,2.0,6.51,0.0,1.0,1.0,0.57,0.0,98.0,0.6,0.0,4.0,4.0,0
4.0,0.0,1.0,2.0,9.0,0.0,37.0,4.0,0.0,2.0,0.15,0.0,61.0,2.0,0.0,10.0,2.0,2.71,0.0,1.0,1.0,0.67,0.0,136.0,0.44,0.0,4.0,2.0,1
16.0,1.0,2.0,10.0,39.0,2.0,217.0,4.0,0.0,2.0,0.19,2.0,95.0,3.0,0.0,35.0,2.0,3.69,1.0,1.0,1.0,1.24,0.0,1233.0,0.31,3.0,4.0,8.0,1
2.0,0.0,1.0,2.0,3.0,0.0,40.0,2.0,1.0,2.0,0.15,0.0,75.0,2.0,0.0,14.0,2.0,1.81,1.0,2.0,1.0,0.13,0.0,345.0,0.4,0.0,2.0,5.0,1
2.0,0.0,1.0,0.0,25.0,0.0,39.0,1.0,0.0,0.0,0.22,1.0,0.0,1.0,0.0,10.0,1.0,3.92,2.0,3.0,1.0,0.44,0.0,254.0,0.42,0.0,4.0,3.0,1
23.0,5.0,1.0,20.0,12.0,0.0,253.0,40.0,0.0,24.0,0.22,0.0,97.0,2.0,17.0,33.0,2.0,3.37,0.0,0.0,1.0,0.48,0.0,1036.0,0.37,0.0,3.0,8.0,1
4.0,0.0,1.0,3.0,9.0,0.0,54.0,4.0,1.0,4.0,0.24,1.0,80.0,3.0,0.0,13.0,2.0,3.41,1.0,1.0,1.0,0.52,0.0,71.0,0.5,0.0,2.0,2.0,1
0.0,0.0,2.0,0.0,2.0,1.0,69.0,2.0,1.0,0.0,0.52,0.0,0.0,3.0,2.0,13.0,2.0,2.36,0.0,1.0,1.0,1.06,0.0,15.0,0.71,0.0,4.0,3.0,0
4.0,0.0,2.0,0.0,7.0,0.0,37.0,1.0,0.0,0.0,0.31,2.0,0.0,1.0,0.0,17.0,1.0,3.86,2.0,3.0,1.0,1.22,0.0,13.0,0.57,0.0,5.0,3.0,0
2.0,0.0,2.0,1.0,1.0,1.0,75.0,2.0,0.0,5.0,0.35,0.0,80.0,2.0,0.0,15.0,2.0,3.48,0.0,1.0,1.0,1.08,0.0,285.0,0.38,0.0,5.0,4.0,0
3.0,0.0,1.0,5.0,26.0,0.0,52.0,1.0,0.0,0.0,0.14,0.0,95.0,1.0,0.0,9.0,1.0,2.96,2.0,1.0,1.0,0.71,0.0,32.0,0.67,0.0,3.0,2.0,0
0.0,0.0,1.0,0.0,4.0,2.0,70.0,1.0,1.0,6.0,0.51,1.0,58.0,2.0,1.0,23.0,1.0,4.83,2.0,2.0,1.0,0.79,0.0,61.0,0.56,0.0,4.0,5.0,0
12.0,1.0,1.0,10.0,6.0,1.0,521.0,8.0,27.0,17.0,0.23,0.0,100.0,2.0,15.0,56.0,2.0,6.09,0.0,1.0,1.0,1.04,0.0,2209.0,0.52,1.0,6.0,7.0,1
0.0,0.0,1.0,1.0,2.0,0.0,30.0,2.0,1.0,1.0,0.48,0.0,75.0,3.0,1.0,7.0,2.0,3.44,1.0,1.0,1.0,0.33,0.0,13.0,0.67,0.0,4.0,0.0,0
3.0,0.0,4.0,12.0,8.0,1.0,38.0,2.0,0.0,2.0,0.15,1.0,71.0,1.0,0.0,10.0,1.0,5.55,2.0,1.0,1.0,1.07,0.0,14.0,0.5,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,6.0,0.0,34.0,1.0,0.0,0.0,0.89,0.0,0.0,1.0,0.0,10.0,1.0,2.67,2.0,2.0,1.0,0.38,0.0,20.0,0.5,0.0,3.0,3.0,0
0.0,0.0,1.0,1.0,4.0,0.0,48.0,2.0,0.0,4.0,0.33,1.0,72.0,2.0,0.0,18.0,2.0,4.94,0.0,1.0,1.0,0.57,0.0,118.0,0.69,0.0,3.0,3.0,0
2.0,0.0,1.0,2.0,65.0,0.0,37.0,6.0,0.0,1.0,0.07,0.0,97.0,2.0,0.0,29.0,2.0,2.12,0.0,1.0,1.0,0.24,0.0,643.0,0.6,0.0,2.0,3.0,1
7.0,1.0,2.0,3.0,10.0,0.0,78.0,4.0,0.0,12.0,0.2,0.0,86.0,2.0,0.0,14.0,2.0,3.31,0.0,0.0,1.0,0.89,0.0,249.0,0.36,0.0,3.0,8.0,1
0.0,0.0,1.0,3.0,1.0,0.0,4.0,3.0,1.0,1.0,0.02,2.0,70.0,3.0,0.0,10.0,2.0,3.38,1.0,1.0,1.0,0.5,0.0,250.0,0.57,0.0,3.0,1.0,0
8.0,1.0,1.0,1.0,18.0,1.0,125.0,1.0,1.0,15.0,0.22,1.0,93.0,2.0,0.0,32.0,1.0,2.84,0.0,1.0,1.0,0.72,0.0,303.0,0.67,3.0,5.0,6.0,1
2.0,0.0,1.0,1.0,41.0,0.0,33.0,17.0,0.0,0.0,0.07,0.0,100.0,1.0,0.0,45.0,1.0,2.24,1.0,3.0,1.0,0.73,0.0,404.0,0.5,0.0,2.0,3.0,1
0.0,0.0,1.0,0.0,0.0,2.0,68.0,1.0,0.0,5.0,1.24,0.0,60.0,1.0,0.0,5.0,1.0,9.27,0.0,1.0,1.0,0.0,0.0,183.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,5.0,0.0,1.0,73.0,3.0,2.0,8.0,0.88,0.0,100.0,1.0,1.0,10.0,2.0,11.0,0.0,1.0,0.0,0.0,0.0,160.0,0.83,0.0,3.0,2.0,0
0.0,0.0,1.0,5.0,2.0,1.0,54.0,2.0,1.0,1.0,0.47,0.0,87.0,1.0,6.0,16.0,2.0,3.0,0.0,1.0,1.0,0.62,0.0,196.0,0.75,0.0,1.0,1.0,0
0.0,40.0,1.0,1.0,0.0,3.0,216.0,1.0,0.0,0.0,3.27,0.0,100.0,0.0,3.0,11.0,0.0,32.92,0.0,0.0,1.0,0.0,0.0,188.0,0.73,0.0,6.0,3.0,0
0.0,6.0,1.0,0.0,0.0,1.0,34.0,1.0,0.0,0.0,3.78,0.0,0.0,1.0,2.0,0.0,1.0,2.17,0.0,1.0,1.0,0.0,0.0,51.0,1.0,0.0,1.0,0.0,0
1.0,0.0,2.0,0.0,0.0,6.0,66.0,1.0,1.0,8.0,0.49,1.0,47.0,1.0,0.0,9.0,2.0,12.8,1.0,1.0,1.0,1.57,0.0,0.0,1.0,0.0,2.0,5.0,0
0.0,0.0,1.0,0.0,0.0,0.0,28.0,2.0,0.0,1.0,0.22,0.0,6.0,2.0,0.0,8.0,2.0,3.63,1.0,1.0,1.0,0.24,0.0,8.0,0.5,0.0,4.0,0.0,0
0.0,0.0,1.0,3.0,2.0,2.0,96.0,1.0,0.0,0.0,1.6,0.0,97.0,1.0,2.0,9.0,1.0,5.16,0.0,1.0,1.0,0.11,0.0,5.0,0.67,0.0,6.0,1.0,0
1.0,0.0,1.0,14.0,0.0,0.0,30.0,1.0,0.0,1.0,0.68,0.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,1
0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,75.0,2.0,1.0,7.0,1.0,3.25,0.0,1.0,1.0,0.71,0.0,5.0,1.0,0.0,1.0,0.0,0
2.0,0.0,1.0,0.0,3.0,1.0,65.0,1.0,3.0,2.0,0.41,0.0,80.0,2.0,1.0,26.0,1.0,4.67,0.0,1.0,1.0,0.8,0.0,384.0,0.73,0.0,1.0,1.0,0
0.0,1.0,1.0,0.0,0.0,0.0,39.0,1.0,0.0,0.0,7.8,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,1.0,1.07,1.0,0.0,1.0,0.0,4.0,2.0,3.5,3.0,2.0,1.0,1.5,0.0,23.0,0.6,0.0,4.0,1.0,0
6.0,0.0,1.0,0.0,2.0,0.0,44.0,1.0,0.0,3.0,0.16,1.0,76.0,2.0,0.0,20.0,1.0,5.94,1.0,1.0,1.0,1.26,0.0,74.0,0.62,0.0,5.0,4.0,0
0.0,2.0,1.0,1.0,0.0,0.0,31.0,2.0,0.0,0.0,1.72,0.0,100.0,1.0,5.0,5.0,2.0,1.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
3.0,0.0,1.0,0.0,0.0,0.0,40.0,4.0,0.0,10.0,0.3,0.0,75.0,2.0,1.0,5.0,2.0,3.31,0.0,0.0,1.0,0.71,0.0,2.0,0.5,0.0,5.0,3.0,0
0.0,0.0,1.0,0.0,0.0,0.0,28.0,2.0,0.0,4.0,0.93,0.0,66.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0
16.0,0.0,1.0,1.0,3.0,0.0,141.0,1.0,1.0,19.0,0.24,0.0,95.0,1.0,0.0,21.0,1.0,6.53,0.0,1.0,1.0,0.25,0.0,249.0,0.7,2.0,2.0,5.0,1
0.0,0.0,1.0,0.0,0.0,0.0,33.0,1.0,0.0,1.0,1.74,1.0,0.0,1.0,0.0,1.0,2.0,2.5,2.0,2.0,1.0,0.75,0.0,7.0,0.33,0.0,4.0,0.0,0
1.0,2.0,1.0,1.0,0.0,0.0,10.0,4.0,0.0,5.0,0.12,0.0,75.0,2.0,1.0,3.0,1.0,2.87,1.0,1.0,1.0,0.32,0.0,221.0,0.57,0.0,2.0,1.0,0
1.0,0.0,5.0,17.0,63.0,6.0,464.0,1.0,0.0,0.0,0.24,0.0,96.0,1.0,0.0,3.0,1.0,3.89,1.0,1.0,1.0,1.08,0.0,20.0,0.67,0.0,2.0,2.0,1
1.0,0.0,1.0,1.0,0.0,3.0,64.0,1.0,0.0,2.0,1.21,0.0,59.0,1.0,0.0,0.0,2.0,2.67,0.0,1.0,1.0,0.27,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,37.0,1.0,0.0,1.0,2.85,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,36.0,1.0,0.0,1.0,2.77,0.0,0.0,2.0,0.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,9.33,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,43.0,1.0,0.0,4.0,0.64,0.0,50.0,2.0,0.0,9.0,1.0,4.83,1.0,1.0,2.0,1.0,1.0,29.0,0.6,0.0,3.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,35.0,1.0,0.0,1.0,1.17,0.0,0.0,2.0,0.0,4.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,0.0,2.0,0.0,0
0.0,0.0,1.0,1.0,4.0,0.0,31.0,1.0,0.0,0.0,0.27,0.0,100.0,2.0,0.0,0.0,1.0,2.19,0.0,1.0,1.0,0.57,0.0,0.0,0.0,0.0,1.0,0.0,0
30.0,0.0,2.0,14.0,34.0,9.0,745.0,17.0,0.0,4.0,0.6,1.0,96.0,1.0,14.0,8.0,2.0,3.23,1.0,0.0,1.0,0.6,0.0,301.0,0.4,0.0,5.0,4.0,1
2.0,0.0,1.0,22.0,0.0,1.0,53.0,2.0,0.0,5.0,0.15,0.0,78.0,2.0,0.0,1.0,1.0,5.92,0.0,1.0,1.0,1.0,0.0,59.0,0.33,0.0,3.0,4.0,0
1.0,0.0,3.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,0.69,1.0,0.0,2.0,0.0,0.0,1.0,1.33,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0
0.0,0.0,1.0,0.0,7.0,9.0,95.0,1.0,0.0,0.0,1.94,0.0,0.0,1.0,0.0,0.0,1.0,2.86,1.0,2.0,1.0,1.11,0.0,153.0,1.0,0.0,1.0,0.0,0
8.0,1.0,1.0,0.0,12.0,1.0,81.0,7.0,0.0,21.0,0.2,0.0,76.0,2.0,0.0,11.0,2.0,3.64,0.0,0.0,1.0,0.89,0.0,447.0,0.3,2.0,3.0,3.0,1
16.0,23.0,2.0,26.0,22.0,2.0,208.0,3.0,0.0,10.0,0.17,1.0,96.0,1.0,0.0,19.0,1.0,4.66,0.0,1.0,1.0,1.08,0.0,167.0,0.43,0.0,2.0,1.0,1
0.0,0.0,1.0,1.0,0.0,6.0,40.0,1.0,0.0,2.0,1.33,0.0,53.0,1.0,0.0,1.0,3.0,1.6,0.0,0.0,1.0,0.88,0.0,0.0,0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,2.0,0.0,0.0,1.0,7.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,2.0,0.0,3.0,7.0,49.0,1.0,0.0,0.0,1.29,0.0,0.0,1.0,0.0,6.0,1.0,12.67,10.0,8.0,3.0,2.2,1.0,94.0,0.33,0.0,1.0,2.0,0
0.0,0.0,1.0,8.0,1.0,0.0,30.0,1.0,0.0,3.0,0.37,0.0,85.0,1.0,0.0,4.0,1.0,5.09,2.0,0.0,1.0,0.54,0.0,2.0,1.0,0.0,2.0,2.0,1
0.0,0.0,1.0,8.0,3.0,0.0,33.0,10.0,0.0,4.0,0.1,0.0,93.0,1.0,1.0,18.0,2.0,2.69,0.0,0.0,1.0,0.77,0.0,13.0,1.0,0.0,1.0,0.0,0
0.0,4.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,3.44,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,3.0,1.07,0.0,33.0,3.0,0.0,0.0,1.0,4.67,1.0,2.0,1.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,3.0,3.0,0.0,32.0,1.0,0.0,0.0,0.41,0.0,70.0,3.0,1.0,8.0,1.0,2.38,1.0,1.0,1.0,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,3.0,1.48,0.0,50.0,2.0,0.0,0.0,1.0,2.75,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,4.0,1.03,0.0,62.0,3.0,0.0,1.0,1.0,4.83,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,5.17,0.0,0.0,4.0,0.0,0.0,1.0,6.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,2.58,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,4.43,0.0,0.0,3.0,0.0,0.0,1.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,3.0,1.07,0.0,33.0,3.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,4.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,3.1,0.0,0.0,0.0,1.0,2.0,0.0,1.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,3.44,0.0,0.0,3.0,0.0,0.0,1.0,1.5,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
20.0,0.0,2.0,13.0,21.0,0.0,24.0,1.0,0.0,0.0,0.06,0.0,96.0,1.0,0.0,1.0,1.0,1.23,0.0,1.0,1.0,1.0,0.0,108.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,32.0,1.0,0.0,3.0,1.1,0.0,33.0,3.0,0.0,0.0,1.0,9.0,1.0,2.0,1.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0
71.0,0.0,2.0,32.0,3.0,0.0,86.0,2.0,0.0,14.0,0.06,0.0,94.0,1.0,0.0,11.0,2.0,5.58,0.0,0.0,1.0,1.15,0.0,45.0,1.0,0.0,1.0,2.0,1
0.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,5.0,1.29,0.0,60.0,1.0,0.0,0.0,1.0,3.25,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,15.0,0.0,0.0,31.0,1.0,0.0,0.0,1.24,0.0,100.0,1.0,20.0,15.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,4.0,31.0,0.0,33.0,1.0,0.0,0.0,0.2,0.0,100.0,1.0,0.0,9.0,1.0,4.06,0.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,2.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,4.43,0.0,0.0,0.0,11.0,2.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,3.0,5.0,27.0,1.0,0.0,0.0,0.29,1.0,0.0,2.0,0.0,8.0,1.0,4.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
2.0,0.0,1.0,1.0,0.0,0.0,27.0,1.0,0.0,0.0,0.35,0.0,55.0,2.0,0.0,11.0,1.0,0.78,0.0,1.0,1.0,0.27,0.0,1.0,1.0,0.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,27.0,1.0,0.0,2.0,1.23,0.0,58.0,1.0,0.0,0.0,1.0,0.83,0.0,0.0,1.0,0.22,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,0.91,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,1.0,0.0,28.0,1.0,0.0,0.0,2.55,0.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.25,1.0,1.0,1.0,0.33,0.0,0.0,0.0,0.0,1.0,0.0,0
1.0,1.0,1.0,1.0,0.0,2.0,77.0,2.0,0.0,3.0,0.34,2.0,53.0,3.0,0.0,2.0,1.0,1.47,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,29.0,1.0,1.0,0.0,1.26,0.0,0.0,3.0,0.0,1.0,1.0,0.33,0.0,2.0,1.0,0.0,0.0,23.0,1.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0
1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66.0,1.0,0.0,0.0,1.0,0.33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,3.0,7.0,0.0,11.0,2.0,0.0,1.0,0.13,0.0,85.0,1.0,0.0,1.0,1.0,2.67,2.0,1.0,1.0,0.6,0.0,116.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,1.0,3.0,13.0,1.0,0.0,0.0,1.44,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,4.5,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,1.33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0
2.0,0.0,2.0,2.0,2.0,0.0,38.0,2.0,0.0,3.0,0.47,2.0,66.0,2.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,0.89,0.0,1.0,1.0,0.0,4.0,3.0,0
0.0,0.0,1.0,0.0,0.0,0.0,30.0,2.0,0.0,2.0,0.41,0.0,83.0,2.0,0.0,2.0,1.0,0.57,0.0,2.0,1.0,0.0,0.0,56.0,0.67,0.0,6.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.5,0.0,3.0,1.0,0.75,0.0,3.0,0.5,0.0,3.0,0.0,0
4.0,0.0,2.0,3.0,0.0,0.0,16.0,2.0,2.0,8.0,0.1,2.0,63.0,2.0,0.0,5.0,1.0,4.56,2.0,2.0,1.0,1.67,0.0,30.0,1.0,0.0,3.0,0.0,0
1.0,0.0,1.0,0.0,1.0,1.0,52.0,3.0,3.0,1.0,0.55,0.0,33.0,2.0,0.0,5.0,2.0,2.44,0.0,1.0,1.0,0.54,0.0,400.0,0.5,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,34.0,1.0,0.0,0.0,1.7,0.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.75,0.0,60.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,2.0,0.72,0.0,33.0,1.0,0.0,1.0,1.0,1.56,0.0,1.0,1.0,0.27,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,0.74,0.0,0.0,2.0,0.0,4.0,1.0,0.14,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
